"activities-heart__value__restingHeartRate","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__heartRateZones__min","activities-heart__dateTime","activities-heart-intraday__datasetType","activities-heart-intraday__datasetInterval","activities-heart-intraday__dataset__value","activities-heart-intraday__dataset__time"
"","","","","","","","","","70","01:27:30"
"","","","","","","","","","69","01:27:40"
"","","","","","","","","","70","01:27:50"
"","","","","","","","","","69","01:28:00"
"","","","","","","","","","68","01:28:10"
"","","","","","","","","","68","01:28:25"
"","","","","","","","","","69","01:28:40"
"","","","","","","","","","69","01:28:55"
"","","","","","","","","","68","01:29:10"
"","","","","","","","","","69","01:29:20"
"","","","","","","","","","69","01:29:35"
"","","","","","","","","","69","01:29:50"
"","","","","","","","","","69","01:30:05"
"","","","","","","","","","68","01:30:10"
"","","","","","","","","","68","01:30:25"
"","","","","","","","","","69","01:30:30"
"","","","","","","","","","70","01:30:40"
"","","","","","","","","","69","01:30:50"
"","","","","","","","","","68","01:31:00"
"","","","","","","","","","68","01:31:15"
"","","","","","","","","","69","01:31:30"
"","","","","","","","","","67","01:31:40"
"","","","","","","","","","67","01:31:55"
"","","","","","","","","","68","01:32:00"
"","","","","","","","","","67","01:32:10"
"","","","","","","","","","68","01:32:20"
"","","","","","","","","","68","01:32:35"
"","","","","","","","","","69","01:32:40"
"","","","","","","","","","68","01:32:50"
"","","","","","","","","","68","01:33:05"
"","","","","","","","","","69","01:33:10"
"","","","","","","","","","67","01:33:20"
"","","","","","","","","","68","01:33:30"
"","","","","","","","","","70","01:33:40"
"","","","","","","","","","68","01:33:50"
"","","","","","","","","","68","01:34:05"
"","","","","","","","","","67","01:34:10"
"","","","","","","","","","69","01:34:20"
"","","","","","","","","","69","01:34:35"
"","","","","","","","","","69","01:34:50"
"","","","","","","","","","69","01:35:05"
"","","","","","","","","","70","01:35:10"
"","","","","","","","","","69","01:35:20"
"","","","","","","","","","69","01:35:30"
"","","","","","","","","","68","01:35:40"
"","","","","","","","","","69","01:35:50"
"","","","","","","","","","69","01:36:05"
"","","","","","","","","","68","01:36:10"
"","","","","","","","","","68","01:36:25"
"","","","","","","","","","68","01:36:40"
"","","","","","","","","","69","01:36:50"
"","","","","","","","","","68","01:37:00"
"","","","","","","","","","68","01:37:15"
"","","","","","","","","","69","01:37:30"
"","","","","","","","","","69","01:37:45"
"","","","","","","","","","68","01:38:00"
"","","","","","","","","","69","01:38:10"
"","","","","","","","","","68","01:38:20"
"","","","","","","","","","69","01:38:30"
"","","","","","","","","","68","01:38:40"
"","","","","","","","","","69","01:38:50"
"","","","","","","","","","69","01:39:05"
"","","","","","","","","","70","01:39:10"
"","","","","","","","","","70","01:39:20"
"","","","","","","","","","68","01:39:30"
"","","","","","","","","","68","01:39:45"
"","","","","","","","","","68","01:40:00"
"","","","","","","","","","69","01:40:10"
"","","","","","","","","","69","01:40:20"
"","","","","","","","","","69","01:40:35"
"","","","","","","","","","69","01:40:40"
"","","","","","","","","","69","01:40:55"
"","","","","","","","","","67","01:41:00"
"","","","","","","","","","68","01:41:10"
"","","","","","","","","","69","01:41:20"
"","","","","","","","","","69","01:41:35"
"","","","","","","","","","68","01:41:40"
"","","","","","","","","","68","01:41:55"
"","","","","","","","","","67","01:42:10"
"","","","","","","","","","68","01:42:20"
"","","","","","","","","","68","01:42:35"
"","","","","","","","","","67","01:42:40"
"","","","","","","","","","69","01:42:50"
"","","","","","","","","","68","01:43:00"
"","","","","","","","","","68","01:43:15"
"","","","","","","","","","69","01:43:30"
"","","","","","","","","","69","01:43:45"
"","","","","","","","","","68","01:43:50"
"","","","","","","","","","68","01:44:05"
"","","","","","","","","","69","01:44:10"
"","","","","","","","","","69","01:44:25"
"","","","","","","","","","69","01:44:40"
"","","","","","","","","","68","01:44:50"
"","","","","","","","","","68","01:44:55"
"","","","","","","","","","67","01:45:10"
"","","","","","","","","","75","01:45:20"
"","","","","","","","","","70","01:45:30"
"","","","","","","","","","67","01:45:40"
"","","","","","","","","","67","01:45:55"
"","","","","","","","","","68","01:46:00"
"","","","","","","","","","69","01:46:10"
"","","","","","","","","","70","01:46:20"
"","","","","","","","","","68","01:46:30"
"","","","","","","","","","69","01:46:40"
"","","","","","","","","","69","01:46:55"
"","","","","","","","","","68","01:47:00"
"","","","","","","","","","70","01:47:10"
"","","","","","","","","","70","01:47:25"
"","","","","","","","","","69","01:47:40"
"","","","","","","","","","70","01:47:50"
"","","","","","","","","","69","01:48:00"
"","","","","","","","","","69","01:48:15"
"","","","","","","","","","70","01:48:30"
"","","","","","","","","","70","01:48:45"
"","","","","","","","","","69","01:48:50"
"","","","","","","","","","70","01:49:00"
"","","","","","","","","","72","01:49:10"
"","","","","","","","","","72","01:49:25"
"","","","","","","","","","71","01:49:30"
"","","","","","","","","","71","01:49:45"
"","","","","","","","","","70","01:50:00"
